Year,Gebietseinheit,GeoCode,Value
2018,Osterholz,K03356,5.7
2018,Rotenburg (Wümme),K03357,6.8
2018,Heidekreis,K03358,8.2
2018,Stade,K03359,9.1
2018,Uelzen,K03360,6.0
2018,Verden,K03361,8.0
2018,Statistische Region Lüneburg,K033,7.3
2018,Delmenhorst.Stadt,K03401,16.7
2018,Emden Stadt,K03402,11.0
2018,Oldenburg (Oldb) Stadt,K03403,10.3
2018,Osnabrück Stadt,K03404,14.8
2018,Wilhelmshaven Stadt,K03405,11.0
2018,Ammerland,K03451,6.5
2018,Aurich,K03452,6.0
2018,Cloppenburg,K03453,11.1
2018,Emsland,K03454,11.9
2018,Friesland,K03455,4.9
2018,Grafschaft Bentheim,K03456,15.7
2018,Leer,K03457,8.0
2018,Oldenburg,K03458,8.9
2018,Osnabrück,K03459,9.1
2018,Vechta,K03460,13.9
2018,Wesermarsch,K03461,8.4
2018,Wittmund,K03462,4.7
2018,Statistische Region Weser-Ems,K034,10.3
2018,Niedersachsen,K030,10.1
2019,Braunschweig Stadt,K03101,12.6
2019,Salzgitter Stadt,K03102,19.3
2019,Wolfsburg Stadt,K03103,16.2
2019,Gifhorn,K03151,6.9
2019,Goslar,K03153,10.2
2019,Helmstedt,K03154,7.1
